Tab ID,ClientID,Type,Mouse X,Mouse Y,TimeStamp
9274054,9274054,movement,1383,114,1699908000997
9274054,9274054,movement,1374,116,1699908001005
9274054,9274054,movement,1351,123,1699908001020
9274054,9274054,movement,1318,133,1699908001036
9274054,9274054,movement,1296,141,1699908001053
9274054,9274054,movement,1266,149,1699908001070
9274054,9274054,movement,1250,152,1699908001086
9274054,9274054,movement,1234,156,1699908001105
9274054,9274054,movement,1218,158,1699908001120
9274054,9274054,movement,1210,161,1699908001136
9274054,9274054,movement,1190,161,1699908007205
9274054,9274054,movement,1166,163,1699908007206
9274054,9274054,movement,1125,165,1699908007220
9274054,9274054,movement,1090,169,1699908007237
9274054,9274054,movement,1062,170,1699908007254
9274054,9274054,movement,1040,177,1699908007270
9274054,9274054,movement,1011,186,1699908007287
9274054,9274054,movement,991,196,1699908007303
9274054,9274054,movement,959,213,1699908007323
9274054,9274054,movement,900,254,1699908007347
9274054,9274054,movement,844,301,1699908007369
9274054,9274054,movement,794,347,1699908007384
9274054,9274054,movement,772,368,1699908007396
9274054,9274054,movement,763,378,1699908007409
9274054,9274054,movement,746,397,1699908007424
9274054,9274054,movement,738,407,1699908007441
9274054,9274054,movement,729,425,1699908007462
9274054,9274054,movement,723,437,1699908007471
9274054,9274054,movement,713,456,1699908007496
9274054,9274054,movement,705,470,1699908007510
9274054,9274054,movement,690,490,1699908007528
9274054,9274054,movement,680,502,1699908007545
9274054,9274054,movement,669,511,1699908007555
9274054,9274054,movement,654,522,1699908007573
9274054,9274054,movement,646,526,1699908007590
9274054,9274054,movement,642,526,1699908007853
9274054,9274054,movement,634,526,1699908007856
9274054,9274054,movement,616,526,1699908007870
9274054,9274054,movement,598,525,1699908007887
9274054,9274054,movement,571,518,1699908007909
9274054,9274054,movement,551,510,1699908007920
9274054,9274054,movement,532,502,1699908007941
9274054,9274054,movement,506,488,1699908007960
9274054,9274054,movement,483,474,1699908007976
9274054,9274054,movement,469,466,1699908007994
9274054,9274054,movement,455,458,1699908008009
9274054,9274054,movement,446,453,1699908008021
9274054,9274054,movement,437,446,1699908008044
9274054,9274054,movement,429,440,1699908008061
9274054,9274054,movement,426,438,1699908008069
9274054,9274054,movement,423,435,1699908008088
9274054,9274054,movement,422,435,1699908008103
9274054,9274054,movement,420,432,1699908008121
9274054,9274054,movement,418,431,1699908008136
