Tab ID,ClientID,Type,Mouse X,Mouse Y,TimeStamp
6973075,6973075,movement,1697,87,1706893768564
6973075,6973075,movement,1690,91,1706893768578
6973075,6973075,movement,1688,91,1706893768597
6973075,6973075,movement,1417,191,1706893769846
6973075,6973075,movement,1400,195,1706893769968
6973075,6973075,movement,1399,198,1706893769969
6973075,6973075,movement,1410,196,1706893777891
6973075,6973075,movement,1426,192,1706893777893
6973075,6973075,movement,1439,190,1706893777897
6973075,6973075,movement,1452,189,1706893777912
6973075,6973075,movement,1483,182,1706893777927
6973075,6973075,movement,1525,174,1706893777946
6973075,6973075,movement,1551,170,1706893777961
6973075,6973075,movement,1587,161,1706893777978
6973075,6973075,movement,1595,157,1706893777995
6973075,6973075,movement,1616,150,1706893778012
6973075,6973075,movement,1633,145,1706893778030
6973075,6973075,movement,1639,141,1706893778044
6973075,6973075,movement,1650,137,1706893778064
6973075,6973075,movement,1659,134,1706893778078
6973075,6973075,movement,1669,134,1706893778096
6973075,6973075,movement,1674,134,1706893778111
6973075,6973075,movement,1677,134,1706893778129
6973075,6973075,movement,1679,134,1706893778145
6973075,6973075,movement,1684,135,1706893778161
6973075,6973075,movement,1687,135,1706893778177
6973075,6973075,movement,1691,136,1706893778195
6973075,6973075,movement,1699,136,1706893778212
6973075,6973075,movement,1705,135,1706893778228
6973075,6973075,movement,1717,134,1706893778245
6973075,6973075,movement,1734,132,1706893778264
6973075,6973075,movement,1746,129,1706893778278
6973075,6973075,movement,1756,125,1706893778297
6973075,6973075,movement,1769,121,1706893778313
