Tab ID,ClientID,Type,Mouse X,Mouse Y,TimeStamp
9031166,9031166,movement,1564,124,1707512032036
9031166,9031166,movement,1546,130,1707512032043
9031166,9031166,movement,1529,138,1707512032051
9031166,9031166,movement,1510,144,1707512032057
9031166,9031166,movement,1491,151,1707512032063
9031166,9031166,movement,1469,161,1707512032071
9031166,9031166,movement,1451,168,1707512032083
9031166,9031166,movement,1426,177,1707512032085
9031166,9031166,movement,1402,187,1707512032092
9031166,9031166,movement,1378,194,1707512032098
9031166,9031166,movement,1351,203,1707512032106
9031166,9031166,movement,1329,210,1707512032111
9031166,9031166,movement,1308,216,1707512032119
9031166,9031166,movement,1291,221,1707512032126
9031166,9031166,movement,1269,227,1707512032133
9031166,9031166,movement,1252,231,1707512032141
9031166,9031166,movement,1241,233,1707512032148
9031166,9031166,movement,1231,234,1707512032155
9031166,9031166,movement,1221,237,1707512032161
9031166,9031166,movement,1213,238,1707512032169
9031166,9031166,movement,1207,239,1707512032176
