User,n,EER,AUC
0,1,0.33998654406888945,0.7285931806416692
10,1,0.28467795119881234,0.7927960823326166
11,1,0.2503744917627846,0.8312182792355927
12,1,0.2281702501110529,0.858279660043043
13,1,0.19302120141349163,0.8900745529499946
14,1,0.30827067669172936,0.7544825486315396
15,1,0.4076956333761793,0.6416169476869866
16,1,0.24000000000088778,0.8195471014492752
17,1,0.2984126984126598,0.769192818818754
18,1,0.35135135135135137,0.710801515186726
19,1,0.2111801242226387,0.8916018220552097
1,1,0.24418604651161765,0.8478388536528071
20,1,0.23749999999994556,0.8592949407965554
21,1,0.30612244897958674,0.7615927786270656
22,1,0.38892494051508275,0.666120642040956
23,1,0.28657616893041427,0.7536142662193083
24,1,0.21428571428571666,0.8789168103540029
25,1,0.3591160220994145,0.6761706287448448
26,1,0.19937901973939237,0.8765633096326548
27,1,0.24509803921581005,0.8476702964922994
28,1,0.22689075630264668,0.8471051541953878
29,1,0.2666666666664905,0.8155374426897607
2,1,0.3778359511332471,0.6899595654204459
30,1,0.4846862283137296,0.5680731063039908
3,1,0.17343578485022437,0.8860759656184003
4,1,0.2528735632183909,0.8263981475870149
5,1,0.304878048780485,0.7684870484285287
6,1,0.06091370558375632,0.9770323626482036
7,1,0.2037037037032487,0.8872396266958459
8,1,0.23731442499326266,0.8581177589207598
9,1,0.31855104281115554,0.7688588467142976
Mean,1,0.2742606193304547,0.7983507116391785
